year,site,county,plot,cultivar,transplant_source,wetness_hours,mean_temp_c,max_temp_c,rain_mm,inoculum_log,soil_ph,dist_to_road_m,final_severity,audpc
2016,S06,Collier,S06-2016-P3,FL-8000,regional,311.6,22.59,30.46,373.7,3.52,6.18,772.0,20.0,220.8
2016,S06,Collier,S06-2016-P4,HM-1823,certified,306.3,22.73,29.54,452.0,3.01,6.09,55.0,54.47,591.2
2016,S06,Collier,S06-2016-P5,Sanibel,certified,299.3,23.5,29.77,357.5,2.13,6.82,185.0,45.8,530.1
2016,S06,Collier,S06-2016-P6,Sanibel,certified,311.9,23.35,30.3,362.2,2.18,6.2,99.0,14.71,144.8
2016,S07,Miami-Dade,S07-2016-P1,FL-8000,regional,381.6,22.36,28.62,478.4,3.04,6.53,729.0,64.34,829.1
2016,S07,Miami-Dade,S07-2016-P2,Sanibel,on-farm,322.1,21.56,28.56,372.4,2.65,6.5,366.0,46.85,551.5
2016,S07,Miami-Dade,S07-2016-P3,HM-1823,certified,324.1,23.31,30.05,220.0,3.31,7.73,860.0,22.67,247.8
2016,S07,Miami-Dade,S07-2016-P4,Tygress,certified,347.8,22.66,29.11,566.5,2.29,6.17,390.0,22.73,264.1
2016,S07,Miami-Dade,S07-2016-P5,Sanibel,regional,314.3,22.6,29.79,452.8,3.38,6.83,885.0,32.5,397.0
2016,S07,Miami-Dade,S07-2016-P6,FL-8000,certified,342.6,22.73,29.22,236.5,,6.17,110.0,28.31,273.7
2016,S08,Miami-Dade,S08-2016-P1,Tygress,on-farm,315.0,21.81,28.71,416.7,1.84,6.58,807.0,39.0,486.4
2016,S08,Miami-Dade,S08-2016-P2,Sebring,regional,321.6,22.51,30.11,384.6,2.87,6.17,266.0,36.0,387.5
2016,S08,Miami-Dade,S08-2016-P3,FL-8000,certified,314.3,21.98,28.85,327.9,2.21,6.29,694.0,17.79,195.4
2016,S08,Miami-Dade,S08-2016-P4,Sanibel,regional,328.1,21.92,29.14,303.5,1.61,6.28,289.0,35.71,374.2
2016,S08,Miami-Dade,S08-2016-P5,Sebring,regional,338.2,22.59,29.47,525.8,3.0,6.16,801.0,30.83,347.8
2016,S08,Miami-Dade,S08-2016-P6,Sanibel,on-farm,338.2,22.4,29.02,439.2,3.82,6.13,55.0,50.22,640.3
2017,S01,Manatee,S01-2017-P1,Sanibel,certified,376.5,25.68,33.2,432.5,3.14,6.41,29.0,59.02,721.2
2017,S01,Manatee,S01-2017-P2,Tygress,certified,369.2,25.7,33.57,317.9,2.81,6.8,287.0,32.5,335.9
2017,S01,Manatee,S01-2017-P3,FL-8000,on-farm,392.5,25.92,32.55,498.7,2.49,6.36,256.0,88.66,845.0
2017,S01,Manatee,S01-2017-P4,Sebring,on-farm,337.1,26.86,33.81,380.1,2.28,6.2,631.0,90.3,1090.7
2017,S01,Manatee,S01-2017-P5,Sebring,certified,383.1,26.35,34.16,531.8,4.26,6.84,323.0,91.84,1004.9
2017,S01,Manatee,S01-2017-P6,HM-1823,on-farm,388.9,26.81,32.78,257.1,3.48,6.49,162.0,57.83,635.2
2017,S02,Manatee,S02-2017-P1,FL-8000,on-farm,362.9,25.4,32.47,480.1,3.89,5.96,317.0,80.49,773.5
2017,S02,Manatee,S02-2017-P2,Sanibel,certified,331.8,25.17,32.2,307.9,2.33,6.68,458.0,43.25,517.3
2017,S02,Manatee,S02-2017-P3,Sebring,on-farm,324.4,24.18,31.27,214.6,3.69,6.05,649.0,77.59,880.4
2017,S02,Manatee,S02-2017-P4,FL-8000,on-farm,342.2,25.28,31.94,397.4,2.78,5.85,587.0,89.78,855.9
2017,S02,Manatee,S02-2017-P5,Sebring,on-farm,387.9,25.65,32.74,504.2,,7.13,459.0,68.2,733.0
2017,S02,Manatee,S02-2017-P6,Tygress,certified,382.0,25.03,31.38,586.4,2.77,6.22,635.0,34.94,332.3
2017,S03,Hillsborough,S03-2017-P1,Tygress,regional,326.7,26.31,33.16,524.9,2.54,6.83,537.0,67.15,808.4
2017,S03,Hillsborough,S03-2017-P2,Tygress,certified,332.4,26.09,32.82,304.7,4.37,6.45,334.0,88.8,1209.1
2017,S03,Hillsborough,S03-2017-P3,Sanibel,certified,351.5,26.25,33.12,482.2,2.07,6.33,889.0,46.92,546.3
2017,S03,Hillsborough,S03-2017-P4,Tygress,regional,348.2,25.42,31.91,473.6,3.52,6.43,107.0,94.77,1152.4
2017,S03,Hillsborough,S03-2017-P5,FL-8000,certified,318.7,25.92,32.61,378.1,3.24,5.82,171.0,44.88,437.9
2017,S03,Hillsborough,S03-2017-P6,Tygress,certified,349.4,25.78,31.91,522.7,2.33,6.73,87.0,53.92,530.5
2017,S04,Hillsborough,S04-2017-P1,Sebring,regional,356.9,25.58,31.84,519.6,3.58,5.84,81.0,47.75,533.2
2017,S04,Hillsborough,S04-2017-P2,FL-8000,regional,384.8,26.18,32.85,420.9,3.36,6.71,628.0,64.7,752.9
2017,S04,Hillsborough,S04-2017-P3,HM-1823,regional,354.9,26.22,33.19,384.9,,7.11,719.0,47.18,545.5
2017,S04,Hillsborough,S04-2017-P4,FL-8000,certified,386.9,27.03,34.45,416.7,4.9,6.16,592.0,88.87,979.4
2017,S04,Hillsborough,S04-2017-P5,FL-8000,regional,370.0,25.81,31.5,494.2,4.9,5.91,646.0,89.95,1016.2
2017,S04,Hillsborough,S04-2017-P6,FL-8000,regional,356.5,26.46,33.22,171.6,2.56,6.49,350.0,69.34,846.2
2017,S05,Collier,S05-2017-P1,Sebring,on-farm,329.1,26.69,33.63,409.9,2.54,6.15,691.0,72.68,990.5
2017,S05,Collier,S05-2017-P2,Sanibel,certified,297.3,25.25,32.22,133.9,4.31,6.29,742.0,51.71,621.8
2017,S05,Collier,S05-2017-P3,Sebring,regional,364.3,26.4,33.21,237.1,2.76,6.23,578.0,53.2,534.5
2017,S05,Collier,S05-2017-P4,FL-8000,on-farm,316.9,25.48,32.31,352.8,3.26,5.87,284.0,73.79,886.0
2017,S05,Collier,S05-2017-P5,FL-8000,certified,281.1,26.81,33.54,242.2,2.92,6.01,86.0,77.98,784.8
2017,S05,Collier,S05-2017-P6,HM-1823,regional,291.4,26.52,33.73,408.5,3.25,5.8,30.0,73.8,826.1
2017,S06,Collier,S06-2017-P1,Tygress,certified,308.0,26.86,33.04,116.8,3.98,6.62,282.0,47.08,515.9
2017,S06,Collier,S06-2017-P2,FL-8000,regional,322.2,25.27,31.44,313.8,3.18,6.4,346.0,74.46,855.5
2017,S06,Collier,S06-2017-P3,Tygress,on-farm,347.0,26.4,33.41,341.0,3.94,6.56,48.0,87.02,1027.5
2017,S06,Collier,S06-2017-P4,FL-8000,certified,361.0,26.67,33.58,3.5,1.5,6.36,844.0,52.02,621.8
2017,S06,Collier,S06-2017-P5,Sebring,certified,351.3,25.96,33.15,420.4,2.54,7.15,239.0,59.34,672.3
2017,S06,Collier,S06-2017-P6,FL-8000,regional,327.6,26.44,32.23,489.7,5.04,6.6,694.0,76.12,833.5
2017,S07,Miami-Dade,S07-2017-P1,Sanibel,regional,348.6,27.47,34.41,531.7,3.26,6.57,375.0,70.28,833.1
2017,S07,Miami-Dade,S07-2017-P2,Sanibel,certified,392.5,28.01,34.28,361.1,2.83,6.13,767.0,86.93,995.8
2017,S07,Miami-Dade,S07-2017-P3,FL-8000,certified,409.3,27.95,34.03,565.0,2.56,6.35,488.0,86.75,1009.3
2017,S07,Miami-Dade,S07-2017-P4,FL-8000,on-farm,385.2,27.33,33.32,213.5,2.51,6.68,783.0,81.32,956.8
2017,S07,Miami-Dade,S07-2017-P5,Sanibel,regional,362.5,27.09,33.44,371.8,2.84,6.1,467.0,87.81,955.0
2017,S07,Miami-Dade,S07-2017-P6,FL-8000,certified,357.7,26.78,32.9,519.8,2.51,6.87,327.0,67.96,749.0
2017,S08,Miami-Dade,S08-2017-P1,FL-8000,certified,322.7,26.14,34.01,432.2,2.3,6.9,631.0,71.65,712.6
2017,S08,Miami-Dade,S08-2017-P2,Tygress,regional,343.1,25.31,30.98,308.3,2.21,6.21,632.0,52.13,545.9
2017,S08,Miami-Dade,S08-2017-P3,Sanibel,on-farm,371.9,25.31,32.03,469.7,3.72,5.76,355.0,95.65,1118.9
2017,S08,Miami-Dade,S08-2017-P4,Tygress,on-farm,358.4,25.73,32.12,260.2,3.73,6.12,723.0,75.65,953.3
2017,S08,Miami-Dade,S08-2017-P5,FL-8000,on-farm,354.9,26.08,32.68,582.4,2.35,7.05,586.0,40.53,499.5
2017,S08,Miami-Dade,S08-2017-P6,Sanibel,regional,352.3,25.94,32.66,258.7,3.78,6.8,116.0,18.19,203.6
2018,S01,Manatee,S01-2018-P1,FL-8000,regional,280.6,22.21,29.59,283.1,3.68,6.35,143.0,35.65,371.5
2018,S01,Manatee,S01-2018-P2,Sanibel,certified,300.4,23.7,30.96,353.4,4.08,5.73,650.0,87.1,966.0
2018,S01,Manatee,S01-2018-P3,Tygress,on-farm,291.1,24.32,31.55,170.0,3.59,7.42,472.0,54.85,648.2
2018,S01,Manatee,S01-2018-P4,FL-8000,regional,295.1,23.98,29.8,220.3,3.01,6.54,581.0,61.9,667.3
2018,S01,Manatee,S01-2018-P5,FL-8000,regional,309.6,23.96,30.63,257.4,4.14,6.59,787.0,68.46,752.1
2018,S01,Manatee,S01-2018-P6,Sanibel,regional,255.6,23.52,30.43,328.9,3.34,6.64,745.0,40.75,483.6
2018,S02,Manatee,S02-2018-P1,FL-8000,on-farm,272.0,25.14,31.66,249.0,2.91,6.17,41.0,71.84,785.7
2018,S02,Manatee,S02-2018-P2,Sanibel,regional,260.4,24.99,32.69,352.2,4.44,6.39,267.0,53.1,653.5
2018,S02,Manatee,S02-2018-P3,Sebring,regional,265.3,23.64,30.57,219.1,2.86,5.97,844.0,40.29,422.2
2018,S02,Manatee,S02-2018-P4,Sanibel,regional,245.0,24.22,30.98,282.5,3.65,6.34,865.0,24.09,288.0
2018,S02,Manatee,S02-2018-P5,HM-1823,certified,230.4,24.47,30.65,209.9,2.03,6.64,683.0,68.89,836.4
2018,S02,Manatee,S02-2018-P6,FL-8000,certified,230.1,24.87,33.55,296.4,4.79,6.36,502.0,36.24,429.3
2018,S03,Hillsborough,S03-2018-P1,HM-1823,regional,291.7,24.2,30.84,311.1,3.19,6.56,138.0,73.48,835.1
2018,S03,Hillsborough,S03-2018-P2,FL-8000,certified,258.9,23.8,31.3,244.0,4.13,6.0,426.0,79.48,852.5
2018,S03,Hillsborough,S03-2018-P3,Sanibel,certified,279.1,22.94,30.12,394.0,3.21,6.21,597.0,78.45,898.2
2018,S03,Hillsborough,S03-2018-P4,Sanibel,regional,253.3,24.1,30.77,171.4,3.1,6.7,359.0,18.77,220.8
2018,S03,Hillsborough,S03-2018-P5,HM-1823,on-farm,267.5,23.27,30.26,144.9,2.34,6.56,678.0,49.42,588.1
2018,S03,Hillsborough,S03-2018-P6,FL-8000,regional,279.6,23.73,31.39,406.3,2.28,6.81,671.0,75.92,964.4
2018,S04,Hillsborough,S04-2018-P1,Tygress,on-farm,256.1,26.53,33.01,301.4,2.84,7.13,327.0,60.11,693.6
2018,S04,Hillsborough,S04-2018-P2,HM-1823,on-farm,276.5,25.59,31.71,158.5,4.17,6.14,767.0,56.07,658.4
2018,S04,Hillsborough,S04-2018-P3,Sanibel,regional,274.8,25.9,32.3,200.1,3.42,6.45,691.0,41.47,495.6
2018,S04,Hillsborough,S04-2018-P4,Sebring,certified,248.5,24.91,32.07,252.7,1.55,6.23,791.0,45.91,421.8
2018,S04,Hillsborough,S04-2018-P5,FL-8000,on-farm,257.9,25.52,32.35,264.7,2.35,6.4,76.0,62.16,658.2
2018,S04,Hillsborough,S04-2018-P6,Tygress,on-farm,271.0,25.22,31.83,232.6,2.94,7.04,510.0,28.35,278.3
2018,S05,Collier,S05-2018-P1,Tygress,certified,288.1,25.04,31.2,297.7,3.22,6.53,781.0,40.24,442.0
2018,S05,Collier,S05-2018-P2,Sanibel,regional,270.8,25.38,32.63,278.9,3.08,6.63,659.0,62.79,618.7
2018,S05,Collier,S05-2018-P3,FL-8000,regional,298.7,24.59,31.07,316.7,2.61,6.07,875.0,60.13,689.3
2018,S05,Collier,S05-2018-P4,Tygress,certified,282.9,24.77,31.7,262.3,2.62,6.29,286.0,19.06,228.0
2018,S05,Collier,S05-2018-P5,HM-1823,on-farm,299.4,26.12,32.69,352.6,4.01,5.81,474.0,76.2,929.1
2018,S05,Collier,S05-2018-P6,Sanibel,on-farm,250.4,25.36,32.28,187.5,2.48,6.9,401.0,26.6,277.5
2018,S06,Collier,S06-2018-P1,Sanibel,certified,303.5,24.98,32.4,176.2,3.47,6.41,35.0,60.37,663.5
2018,S06,Collier,S06-2018-P2,FL-8000,on-farm,310.5,25.19,32.85,365.0,3.11,6.13,24.0,93.83,1148.1
2018,S06,Collier,S06-2018-P3,FL-8000,on-farm,299.2,23.82,30.73,200.4,2.13,6.66,121.0,34.31,388.7
2018,S06,Collier,S06-2018-P4,Sanibel,certified,340.2,23.86,30.15,346.4,2.77,6.82,141.0,33.98,383.1
2018,S06,Collier,S06-2018-P5,FL-8000,regional,339.3,25.17,31.43,89.0,4.76,6.62,639.0,71.21,850.8
2018,S06,Collier,S06-2018-P6,FL-8000,certified,334.4,25.14,30.34,384.6,1.63,6.66,898.0,35.68,368.2
2018,S07,Miami-Dade,S07-2018-P1,HM-1823,certified,255.8,24.98,31.17,234.4,3.04,6.32,775.0,58.23,663.3
2018,S07,Miami-Dade,S07-2018-P2,HM-1823,certified,260.3,25.53,31.73,297.1,2.23,6.4,630.0,32.31,372.0
2018,S07,Miami-Dade,S07-2018-P3,FL-8000,certified,258.0,25.59,31.96,431.5,1.93,6.12,842.0,78.55,893.1
2018,S07,Miami-Dade,S07-2018-P4,FL-8000,on-farm,268.6,24.92,30.13,478.4,1.85,6.58,712.0,71.09,845.2
2018,S07,Miami-Dade,S07-2018-P5,Tygress,certified,278.7,24.19,30.9,334.5,2.95,6.64,280.0,20.25,220.0
2018,S07,Miami-Dade,S07-2018-P6,FL-8000,regional,269.2,23.99,30.81,217.0,3.85,6.25,365.0,62.77,649.1
2018,S08,Miami-Dade,S08-2018-P1,Sanibel,regional,287.1,24.41,32.1,365.1,3.47,6.04,214.0,46.36,591.4
2018,S08,Miami-Dade,S08-2018-P2,Sanibel,regional,276.5,23.78,30.39,133.6,4.89,6.62,687.0,78.9,764.3
2018,S08,Miami-Dade,S08-2018-P3,Sebring,regional,291.8,24.29,31.81,175.6,4.69,6.16,369.0,70.08,845.3
2018,S08,Miami-Dade,S08-2018-P4,FL-8000,on-farm,287.7,23.22,30.39,165.2,2.95,6.82,211.0,41.26,528.0
2018,S08,Miami-Dade,S08-2018-P5,Sanibel,regional,267.1,24.11,31.11,381.4,3.52,6.87,40.0,63.63,596.4
2018,S08,Miami-Dade,S08-2018-P6,FL-8000,certified,290.0,24.38,30.77,511.7,,6.82,112.0,86.93,878.3
2019,S01,Manatee,S01-2019-P1,FL-8000,on-farm,395.8,24.38,31.23,518.5,2.41,6.37,570.0,85.55,1129.1
2019,S01,Manatee,S01-2019-P2,FL-8000,on-farm,401.8,24.3,30.94,207.8,3.34,5.86,688.0,84.66,1086.2
2019,S01,Manatee,S01-2019-P3,FL-8000,on-farm,373.4,24.62,30.69,419.8,2.3,5.92,330.0,95.01,1112.6
2019,S01,Manatee,S01-2019-P4,Sanibel,regional,383.3,23.64,29.43,423.4,2.97,6.45,249.0,46.73,548.2
2019,S01,Manatee,S01-2019-P5,Sanibel,regional,361.3,23.75,31.17,176.9,,6.89,52.0,41.12,467.4
2019,S01,Manatee,S01-2019-P6,Sanibel,regional,377.5,24.0,32.13,285.4,2.96,5.83,561.0,40.86,586.5
2019,S02,Manatee,S02-2019-P1,FL-8000,regional,487.5,26.51,33.26,692.1,3.79,6.13,424.0,93.93,978.9
2019,S02,Manatee,S02-2019-P2,FL-8000,certified,476.1,25.45,32.36,436.2,3.76,6.4,174.0,76.55,780.6
2019,S02,Manatee,S02-2019-P3,HM-1823,certified,448.4,26.08,33.84,375.9,2.85,6.28,226.0,93.73,1170.2
2019,S02,Manatee,S02-2019-P4,Sebring,on-farm,474.9,25.2,32.2,498.4,3.99,6.5,581.0,84.89,1007.6
2019,S02,Manatee,S02-2019-P5,Sanibel,on-farm,486.0,25.07,31.89,588.8,2.35,6.54,792.0,81.94,1086.5
2019,S02,Manatee,S02-2019-P6,Sanibel,certified,445.4,25.28,32.35,224.2,2.5,5.98,612.0,76.74,964.4
2019,S03,Hillsborough,S03-2019-P1,HM-1823,certified,342.5,25.87,32.54,230.8,3.36,6.47,390.0,79.65,934.3
2019,S03,Hillsborough,S03-2019-P2,Sanibel,certified,339.8,25.08,31.84,493.7,2.88,6.35,854.0,41.35,426.8
2019,S03,Hillsborough,S03-2019-P3,FL-8000,on-farm,362.5,25.01,31.87,321.7,4.94,6.63,635.0,70.0,774.6
2019,S03,Hillsborough,S03-2019-P4,Sanibel,regional,337.6,24.78,31.21,375.3,2.93,6.39,155.0,58.66,668.5
2019,S03,Hillsborough,S03-2019-P5,FL-8000,on-farm,390.5,25.76,31.53,336.5,3.41,7.27,167.0,89.17,1172.8
2019,S03,Hillsborough,S03-2019-P6,Sebring,on-farm,316.5,24.8,31.6,243.8,2.89,5.89,571.0,45.33,519.3
2019,S04,Hillsborough,S04-2019-P1,FL-8000,regional,436.2,25.39,31.28,421.1,2.03,6.51,676.0,58.78,630.4
2019,S04,Hillsborough,S04-2019-P2,Sanibel,on-farm,417.3,24.95,31.13,230.0,4.16,6.31,343.0,45.05,413.1
2019,S04,Hillsborough,S04-2019-P3,Tygress,on-farm,428.1,25.28,31.65,659.4,2.79,6.16,48.0,51.75,579.0
2019,S04,Hillsborough,S04-2019-P4,Sanibel,certified,412.3,24.46,30.69,737.6,3.26,6.53,856.0,88.26,1002.7
2019,S04,Hillsborough,S04-2019-P5,FL-8000,certified,416.3,25.54,32.48,602.7,2.55,6.32,845.0,58.81,699.3
2019,S04,Hillsborough,S04-2019-P6,Sanibel,on-farm,427.4,24.04,30.98,588.9,3.29,6.6,441.0,70.89,879.9
2019,S05,Collier,S05-2019-P1,HM-1823,certified,395.0,24.61,32.59,227.0,2.99,5.93,251.0,49.92,532.5
2019,S05,Collier,S05-2019-P2,Sanibel,on-farm,392.4,24.72,31.25,317.5,3.72,6.33,786.0,44.26,401.0
2019,S05,Collier,S05-2019-P3,Sanibel,regional,404.4,24.71,32.01,369.0,2.42,6.07,786.0,32.95,360.1
2019,S05,Collier,S05-2019-P4,Sanibel,certified,377.5,25.27,32.39,332.6,1.94,6.23,566.0,59.18,635.2
2019,S05,Collier,S05-2019-P5,Tygress,certified,376.0,25.19,32.69,514.1,3.05,6.32,625.0,25.89,271.2
2019,S05,Collier,S05-2019-P6,HM-1823,regional,338.4,24.88,32.39,160.4,3.52,6.17,685.0,77.77,867.8
2019,S06,Collier,S06-2019-P1,Tygress,on-farm,430.5,24.53,31.59,552.6,3.18,6.12,837.0,61.72,665.9
2019,S06,Collier,S06-2019-P2,HM-1823,on-farm,407.2,24.48,31.43,566.9,3.58,5.8,63.0,95.99,1072.8
2019,S06,Collier,S06-2019-P3,HM-1823,certified,424.6,23.78,30.32,356.0,2.24,6.01,573.0,86.31,950.2
2019,S06,Collier,S06-2019-P4,Sebring,on-farm,402.9,24.65,31.41,357.6,2.39,6.38,546.0,78.1,887.6
2019,S06,Collier,S06-2019-P5,Tygress,regional,460.8,24.65,31.78,289.2,2.78,7.02,275.0,28.42,341.2
2019,S06,Collier,S06-2019-P6,FL-8000,on-farm,435.2,24.66,30.85,501.3,3.05,6.39,437.0,55.01,601.2
2019,S07,Miami-Dade,S07-2019-P1,FL-8000,certified,360.8,24.82,31.95,518.2,2.31,6.95,760.0,77.85,898.6
2019,S07,Miami-Dade,S07-2019-P2,Sanibel,certified,343.1,24.86,32.39,602.4,1.97,6.35,678.0,38.23,440.0
2019,S07,Miami-Dade,S07-2019-P3,HM-1823,regional,373.7,25.39,32.25,238.0,4.92,5.98,112.0,91.03,1170.9
2019,S07,Miami-Dade,S07-2019-P4,Sanibel,certified,350.5,25.53,32.54,88.9,3.14,6.33,444.0,36.45,413.3
2019,S07,Miami-Dade,S07-2019-P5,Sanibel,certified,351.6,24.66,31.16,610.5,3.03,6.53,338.0,64.33,585.1
2019,S07,Miami-Dade,S07-2019-P6,FL-8000,certified,337.4,24.89,31.68,337.6,4.23,6.45,486.0,56.33,723.0
2019,S08,Miami-Dade,S08-2019-P1,Sanibel,certified,367.4,24.88,32.33,218.9,3.03,6.79,25.0,36.96,368.2
2019,S08,Miami-Dade,S08-2019-P2,Sanibel,regional,398.7,24.04,30.24,512.1,4.03,6.18,459.0,74.34,801.1
2019,S08,Miami-Dade,S08-2019-P3,Tygress,regional,397.6,24.31,32.33,377.4,1.04,7.26,855.0,53.04,596.9
2019,S08,Miami-Dade,S08-2019-P4,Tygress,certified,371.9,24.46,31.29,327.7,3.09,6.43,303.0,21.89,249.0
2019,S08,Miami-Dade,S08-2019-P5,Tygress,regional,384.6,23.95,30.35,658.1,3.25,6.36,893.0,85.59,914.6
2019,S08,Miami-Dade,S08-2019-P6,HM-1823,on-farm,405.5,24.39,30.35,219.5,2.11,6.51,793.0,59.28,646.6
2020,S01,Manatee,S01-2020-P1,FL-8000,on-farm,230.3,24.71,31.3,268.2,2.84,5.74,680.0,11.66,139.3
2020,S01,Manatee,S01-2020-P2,Tygress,certified,289.2,24.27,30.4,374.3,4.28,5.75,268.0,31.73,351.5
2020,S01,Manatee,S01-2020-P3,Sanibel,on-farm,283.5,25.21,31.75,154.1,5.65,6.65,292.0,64.86,810.3
2020,S01,Manatee,S01-2020-P4,Tygress,certified,293.2,25.27,31.22,401.4,2.58,6.51,582.0,19.64,203.2
2020,S01,Manatee,S01-2020-P5,Sanibel,certified,276.3,25.52,32.4,409.7,2.28,5.9,185.0,39.14,478.6
2020,S01,Manatee,S01-2020-P6,FL-8000,regional,288.0,25.45,32.26,372.4,3.65,6.91,846.0,23.45,269.7
2020,S02,Manatee,S02-2020-P1,HM-1823,certified,219.4,24.96,31.56,278.1,3.99,7.57,103.0,66.21,734.2
2020,S02,Manatee,S02-2020-P2,Tygress,certified,221.4,25.18,32.29,303.6,,6.37,811.0,26.54,229.7
2020,S02,Manatee,S02-2020-P3,Sebring,on-farm,246.5,23.93,30.18,240.0,2.02,6.47,131.0,29.88,375.7
2020,S02,Manatee,S02-2020-P4,HM-1823,certified,203.1,22.88,29.33,81.5,2.08,6.27,864.0,12.7,150.5
2020,S02,Manatee,S02-2020-P5,Tygress,on-farm,199.9,24.63,30.65,167.8,3.03,6.53,144.0,14.02,152.0
2020,S02,Manatee,S02-2020-P6,Tygress,regional,257.9,24.68,31.0,209.0,0.75,6.26,315.0,10.37,119.5
2020,S03,Hillsborough,S03-2020-P1,Tygress,on-farm,206.0,25.47,32.28,216.0,3.81,6.69,406.0,12.57,147.6
2020,S03,Hillsborough,S03-2020-P2,FL-8000,regional,245.2,26.12,33.4,288.0,2.01,6.35,62.0,42.46,505.3
2020,S03,Hillsborough,S03-2020-P3,Sebring,certified,235.7,25.96,31.9,357.6,2.77,6.49,773.0,15.34,160.0
2020,S03,Hillsborough,S03-2020-P4,Sebring,certified,226.1,24.24,30.84,258.7,3.95,6.62,240.0,26.97,312.1
